Codi_Districte,Any,pob_total,pob_extranjera,pct_extranjera
1,2010,104643.0,43216.0,41.3
1,2011,103549.0,42696.0,41.2
1,2012,104334.0,44018.0,42.2
1,2013,103285.0,44491.0,43.1
1,2014,100678.0,43300.0,43.0
1,2015,100138.0,42658.0,42.6
1,2016,100344.0,43368.0,43.2
1,2017,102134.0,46063.0,45.1
1,2018,102027.0,47259.0,46.3
1,2019,105711.0,52165.0,49.3
1,2020,108215.0,55776.0,51.5
1,2021,109633.0,57695.0,52.6
1,2022,105993.0,54853.0,51.8
1,2023,106412.0,55603.0,52.3
1,2024,111123.0,59977.0,54.0
2,2010,265657.0,47930.0,18.0
2,2011,264232.0,47014.0,17.8
2,2012,265539.0,48403.0,18.2
2,2013,264917.0,49281.0,18.6
2,2014,263509.0,48873.0,18.5
2,2015,263497.0,47880.0,18.2
2,2016,264498.0,49384.0,18.7
2,2017,267201.0,54074.0,20.2
2,2018,266774.0,56221.0,21.1
2,2019,269111.0,61514.0,22.9
2,2020,270705.0,65903.0,24.3
2,2021,269289.0,68212.0,25.3
2,2022,266809.0,68352.0,25.6
2,2023,268764.0,72847.0,27.1
2,2024,274561.0,79431.0,28.9
3,2010,182957.0,36225.0,19.8
3,2011,182694.0,36115.0,19.8
3,2012,183937.0,37231.0,20.2
3,2013,182718.0,36670.0,20.1
3,2014,180808.0,35045.0,19.4
3,2015,180786.0,33428.0,18.5
3,2016,181162.0,33858.0,18.7
3,2017,182359.0,35873.0,19.7
3,2018,182188.0,37010.0,20.3
3,2019,185463.0,41279.0,22.3
3,2020,187590.0,44628.0,23.8
3,2021,187009.0,45621.0,24.4
3,2022,183750.0,43934.0,23.9
3,2023,185927.0,46706.0,25.1
3,2024,191354.0,51708.0,27.0
4,2010,82736.0,10567.0,12.8
4,2011,82327.0,10268.0,12.5
4,2012,82352.0,10198.0,12.4
4,2013,81702.0,9736.0,11.9
4,2014,81187.0,9325.0,11.5
4,2015,81519.0,8980.0,11.0
4,2016,81700.0,9120.0,11.2
4,2017,82189.0,9915.0,12.1
4,2018,82169.0,10334.0,12.6
4,2019,82580.0,11227.0,13.6
4,2020,82622.0,11963.0,14.5
4,2021,81563.0,12064.0,14.8
4,2022,81068.0,11949.0,14.7
4,2023,82137.0,13555.0,16.5
4,2024,83532.0,15152.0,18.1
5,2010,144469.0,17479.0,12.1
5,2011,144342.0,16622.0,11.5
5,2012,145252.0,16612.0,11.4
5,2013,145493.0,16544.0,11.4
5,2014,145753.0,16662.0,11.4
5,2015,146830.0,16425.0,11.2
5,2016,148148.0,16661.0,11.2
5,2017,149705.0,18167.0,12.1
5,2018,149813.0,18580.0,12.4
5,2019,150428.0,20183.0,13.4
5,2020,151145.0,21440.0,14.2
5,2021,149189.0,21720.0,14.6
5,2022,148190.0,21908.0,14.8
5,2023,149775.0,24522.0,16.4
5,2024,151861.0,27070.0,17.8
6,2010,122971.0,20274.0,16.5
6,2011,121471.0,19080.0,15.7
6,2012,121817.0,19274.0,15.8
6,2013,120981.0,18930.0,15.6
6,2014,120258.0,18519.0,15.4
6,2015,120420.0,18072.0,15.0
6,2016,121055.0,18560.0,15.3
6,2017,121738.0,19901.0,16.3
6,2018,121757.0,20633.0,16.9
6,2019,123037.0,22699.0,18.4
6,2020,123826.0,24410.0,19.7
6,2021,123253.0,25322.0,20.5
6,2022,121891.0,25571.0,21.0
6,2023,122899.0,27488.0,22.4
6,2024,125759.0,30351.0,24.1
7,2010,170741.0,23038.0,13.5
7,2011,169747.0,22478.0,13.2
7,2012,168949.0,22031.0,13.0
7,2013,167776.0,21637.0,12.9
7,2014,166896.0,20679.0,12.4
7,2015,166511.0,19193.0,11.5
7,2016,167367.0,19553.0,11.7
7,2017,168966.0,21211.0,12.6
7,2018,170041.0,22835.0,13.4
7,2019,172244.0,25821.0,15.0
7,2020,174578.0,28931.0,16.6
7,2021,173930.0,29979.0,17.2
7,2022,172082.0,29229.0,17.0
7,2023,175531.0,32832.0,18.7
7,2024,180124.0,36930.0,20.5
8,2010,167986.0,28244.0,16.8
8,2011,167523.0,28241.0,16.9
8,2012,167233.0,28257.0,16.9
8,2013,165713.0,27083.0,16.3
8,2014,164420.0,25592.0,15.6
8,2015,164547.0,23983.0,14.6
8,2016,164869.0,24306.0,14.7
8,2017,166730.0,26369.0,15.8
8,2018,168288.0,28515.0,16.9
8,2019,171251.0,31990.0,18.7
8,2020,173984.0,35314.0,20.3
8,2021,173516.0,36190.0,20.9
8,2022,170689.0,34048.0,19.9
8,2023,174169.0,37419.0,21.5
8,2024,179537.0,41272.0,23.0
9,2010,146944.0,20364.0,13.9
9,2011,147307.0,20069.0,13.6
9,2012,147364.0,19771.0,13.4
9,2013,146910.0,19045.0,13.0
9,2014,145952.0,17684.0,12.1
9,2015,146468.0,16694.0,11.4
9,2016,146769.0,16654.0,11.3
9,2017,147750.0,17720.0,12.0
9,2018,148629.0,18744.0,12.6
9,2019,150323.0,20849.0,13.9
9,2020,152043.0,23102.0,15.2
9,2021,151512.0,23602.0,15.6
9,2022,149790.0,22684.0,15.1
9,2023,151778.0,25048.0,16.5
9,2024,155451.0,28296.0,18.2
10,2010,230186.0,36071.0,15.7
10,2011,231038.0,35995.0,15.6
10,2012,232698.0,36880.0,15.8
10,2013,233005.0,37039.0,15.9
10,2014,232636.0,36211.0,15.6
10,2015,233609.0,35169.0,15.1
10,2016,234122.0,35933.0,15.3
10,2017,235988.0,39005.0,16.5
10,2018,236952.0,41197.0,17.4
10,2019,239929.0,45508.0,19.0
10,2020,241529.0,49210.0,20.4
10,2021,241130.0,50832.0,21.1
10,2022,239420.0,50749.0,21.2
10,2023,242705.0,55633.0,22.9
10,2024,249162.0,62324.0,25.0
