Codi_Districte,Any,pob_total,pob_65mas,pob_joven,pct_mayores,pct_joven
1,2010,104544.0,16305.0,32659.0,15.6,31.2
1,2011,103455.0,15886.0,32341.0,15.4,31.3
1,2012,104260.0,15605.0,32471.0,15.0,31.1
1,2013,103193.0,15197.0,31723.0,14.7,30.7
1,2014,100571.0,14735.0,30622.0,14.7,30.4
1,2015,100035.0,14383.0,30454.0,14.4,30.4
1,2016,100263.0,14104.0,31052.0,14.1,31.0
1,2017,102045.0,13843.0,32494.0,13.6,31.8
1,2018,101930.0,13455.0,33106.0,13.2,32.5
1,2019,105608.0,13316.0,34762.0,12.6,32.9
1,2020,108114.0,13199.0,36179.0,12.2,33.5
1,2021,109542.0,13070.0,35922.0,11.9,32.8
1,2022,105907.0,12741.0,33764.0,12.0,31.9
1,2023,106332.0,12696.0,34322.0,11.9,32.3
1,2024,111023.0,12767.0,35978.0,11.5,32.4
2,2010,265348.0,57706.0,73780.0,21.7,27.8
2,2011,263916.0,57707.0,72454.0,21.9,27.5
2,2012,265209.0,57843.0,72192.0,21.8,27.2
2,2013,264579.0,57800.0,71186.0,21.8,26.9
2,2014,263202.0,57990.0,69888.0,22.0,26.6
2,2015,263191.0,58343.0,69691.0,22.2,26.5
2,2016,264185.0,58477.0,70534.0,22.1,26.7
2,2017,266880.0,58587.0,72321.0,22.0,27.1
2,2018,266512.0,58670.0,73193.0,22.0,27.5
2,2019,268825.0,58738.0,74489.0,21.8,27.7
2,2020,270424.0,58936.0,75638.0,21.8,28.0
2,2021,269014.0,58357.0,74459.0,21.7,27.7
2,2022,266524.0,58246.0,73356.0,21.9,27.5
2,2023,268503.0,58430.0,74325.0,21.8,27.7
2,2024,274318.0,59356.0,75511.0,21.6,27.5
3,2010,182709.0,35128.0,53739.0,19.2,29.4
3,2011,182456.0,35286.0,52963.0,19.3,29.0
3,2012,183685.0,35462.0,52809.0,19.3,28.7
3,2013,182484.0,35706.0,51367.0,19.6,28.1
3,2014,180544.0,36027.0,49819.0,20.0,27.6
3,2015,180557.0,36373.0,49218.0,20.1,27.3
3,2016,180930.0,36449.0,49442.0,20.1,27.3
3,2017,182115.0,36585.0,50118.0,20.1,27.5
3,2018,181953.0,36653.0,50413.0,20.1,27.7
3,2019,185220.0,36849.0,51777.0,19.9,28.0
