Codi_Districte,Any,renta_per_capita
1,2015,13831.0
1,2016,14193.0
1,2017,14751.0
1,2018,15036.0
1,2019,15665.0
1,2020,14019.0
1,2021,15382.0
1,2022,16831.0
2,2015,23025.0
2,2016,23900.0
2,2017,24212.0
2,2018,24418.0
2,2019,25686.0
2,2020,23751.0
2,2021,24717.0
2,2022,25994.0
3,2015,17793.0
3,2016,18023.0
3,2017,18127.0
3,2018,18459.0
3,2019,19219.0
3,2020,17983.0
3,2021,19471.0
3,2022,20357.0
4,2015,26599.0
4,2016,28060.0
4,2017,28192.0
4,2018,28554.0
4,2019,30115.0
4,2020,27997.0
4,2021,28220.0
4,2022,29497.0
5,2015,30223.0
5,2016,32631.0
5,2017,33831.0
5,2018,34567.0
5,2019,36880.0
5,2020,33405.0
5,2021,32955.0
5,2022,35076.0
6,2015,22169.0
6,2016,22863.0
6,2017,23048.0
6,2018,23410.0
6,2019,24683.0
6,2020,23096.0
6,2021,24212.0
6,2022,25269.0
7,2015,18561.0
7,2016,18877.0
7,2017,18877.0
7,2018,19107.0
7,2019,19909.0
7,2020,18721.0
7,2021,19972.0
7,2022,20677.0
8,2015,15204.0
8,2016,15250.0
8,2017,15231.0
8,2018,15493.0
8,2019,15955.0
8,2020,14982.0
8,2021,16291.0
8,2022,16935.0
9,2015,18424.0
9,2016,18681.0
9,2017,18623.0
9,2018,18927.0
9,2019,19651.0
9,2020,18496.0
9,2021,19947.0
9,2022,20514.0
10,2015,18982.0
10,2016,19303.0
10,2017,19281.0
10,2018,19484.0
10,2019,20354.0
10,2020,19099.0
10,2021,20499.0
10,2022,21408.0
