Codi_Districte,Nom_Districte,Any,prestamos_presenciales,poblacion,pct_mayores,pct_joven,pct_extranjera,renta_per_capita,prestamos_per_capita,indice_base100,fondo_documental,oferta_per_capita,rotacion_fondo,ipc,renta_real
1,Ciutat Vella,2010,109276,104664,15.6,31.2,41.3,,1.04,24.3,264001,2.52,0.41,,
1,Ciutat Vella,2011,449563,103569,15.4,31.3,41.2,,4.34,100.0,216012,2.09,2.08,,
1,Ciutat Vella,2012,427758,104357,15.0,31.1,42.2,,4.1,95.1,234817,2.25,1.82,,
1,Ciutat Vella,2013,346104,103311,14.7,30.7,43.1,,3.35,77.0,242662,2.35,1.43,,
1,Ciutat Vella,2014,391455,100700,14.7,30.4,43.0,,3.89,87.1,251133,2.49,1.56,,
1,Ciutat Vella,2015,370390,100169,14.4,30.4,42.6,13831.0,3.7,82.4,256288,2.56,1.45,95.9,14422.0
1,Ciutat Vella,2016,326033,100373,14.1,31.0,43.2,14193.0,3.25,72.5,261327,2.6,1.25,95.7,14831.0
1,Ciutat Vella,2017,295995,102165,13.6,31.8,45.1,14751.0,2.9,65.8,258462,2.53,1.15,97.7,15098.0
1,Ciutat Vella,2018,273041,102047,13.2,32.5,46.3,15036.0,2.68,60.7,260515,2.55,1.05,99.3,15142.0
1,Ciutat Vella,2019,268114,105733,12.6,32.9,49.3,15665.0,2.54,59.6,242413,2.29,1.11,100.0,15665.0
1,Ciutat Vella,2020,137670,108248,12.2,33.5,51.5,14019.0,1.27,30.6,232939,2.15,0.59,99.7,14061.0
1,Ciutat Vella,2021,207248,109672,11.9,32.8,52.6,15382.0,1.89,46.1,223698,2.04,0.93,102.8,14963.0
1,Ciutat Vella,2022,212896,106028,12.0,31.9,51.8,16831.0,2.01,47.4,225971,2.13,0.94,111.4,15109.0
1,Ciutat Vella,2023,223083,106446,11.9,32.3,52.3,,2.1,49.6,222364,2.09,1.0,,
1,Ciutat Vella,2024,228064,111155,11.5,32.4,54.0,,2.05,50.7,197923,1.78,1.15,,
2,Eixample,2010,337596,265714,21.7,27.8,18.0,,1.27,30.0,302196,1.14,1.12,,
